id;fecha;tipo;accion;que;plataforma_pago;cantidad;detalle1;detalle2;created_at;updated_at
155;2021-07-18T00:00:00-02:00;Comida;Gasto;Viaje Menorca;any;11;Supermercado;;2025-04-04T00:00:00-02:00;2025-04-04T00:00:00-02:00
156;2021-07-18T00:00:00-02:00;Comida;Gasto;Viaje Menorca;any;5;Supermercado;;2025-04-04T00:00:00-02:00;2025-04-04T00:00:00-02:00
157;2021-07-18T00:00:00-02:00;Comida;Gasto;Viaje Menorca;any;18.5;Restaurante;;2025-04-04T00:00:00-02:00;2025-04-04T00:00:00-02:00
158;2021-07-19T00:00:00-02:00;Tools;Gasto;Amazon Prime;any;36;Suscripción anual;;2025-04-04T00:00:00-02:00;2025-04-04T00:00:00-02:00
159;2021-07-20T00:00:00-02:00;Comida;Gasto;Viaje Menorca;any;1.2;Supermercado;;2025-04-04T00:00:00-02:00;2025-04-04T00:00:00-02:00
160;2021-07-20T00:00:00-02:00;Comida;Gasto;Viaje Menorca;any;10;Restaurante;;2025-04-04T00:00:00-02:00;2025-04-04T00:00:00-02:00
161;2021-07-20T00:00:00-02:00;Comida;Gasto;Viaje Menorca;any;31.5;Restaurante;;2025-04-04T00:00:00-02:00;2025-04-04T00:00:00-02:00
162;2021-07-21T00:00:00-02:00;Viajes/ Transporte;Gasto;Viaje Menorca;any;12;Gasolina;;2025-04-04T00:00:00-02:00;2025-04-04T00:00:00-02:00
163;2021-07-21T00:00:00-02:00;Comida;Gasto;Restaurante;any;4;Comida dia laborable;;2025-04-04T00:00:00-02:00;2025-04-04T00:00:00-02:00
164;2021-07-21T00:00:00-02:00;Comida;Gasto;Supermercado;any;36.03;;;2025-04-04T00:00:00-02:00;2025-04-04T00:00:00-02:00
165;2021-07-22T00:00:00-02:00;Tools;Gasto;Hosting;any;12.04;;;2025-04-04T00:00:00-02:00;2025-04-04T00:00:00-02:00
166;2021-07-24T00:00:00-02:00;Comida;Gasto;Restaurante;any;9.99;;KFC;2025-04-04T00:00:00-02:00;2025-04-04T00:00:00-02:00
167;2021-07-24T00:00:00-02:00;Otros Ingresos;Ingreso;Ventas;any;500;Venta Mini (900/3400);;2025-04-04T00:00:00-02:00;2025-04-04T00:00:00-02:00
168;2021-07-25T00:00:00-02:00;Cripto D;Inversión;Binance;any;400;;;2025-04-04T00:00:00-02:00;2025-04-04T00:00:00-02:00
169;2021-07-26T00:00:00-02:00;Comida;Gasto;Supermercado;any;1;;;2025-04-04T00:00:00-02:00;2025-04-04T00:00:00-02:00
170;2021-07-26T00:00:00-02:00;Hobby;Gasto;Squash;any;8;Clase grupo;;2025-04-04T00:00:00-02:00;2025-04-04T00:00:00-02:00
